Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIZAMABAD,ARMOOR,PERKIT,PERKIT,PERKIT,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,8920,100.0
NIZAMABAD,DICHPALLY,DICHPALLY,DHARPALLY,DHARPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,54.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,RAYAPARTHI,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,101,50.0
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-I,ACHANPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,54.0
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-I,BHEEMUNIGUTTA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,30.0
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-I,GOSHALA AND MARKET ROAD,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,54.0
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,AZAM GUNJ,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,54.0
NIZAMABAD,DICHPALLY,DICHPALLY,DICHPALLY,DICHPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,603,30.0
PEDDAPALLY,MANTHANI,GODAVARIKHANI,MARKANDEYA COLONY,MARKANDEYA COLONY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,0,0,30.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,POOSALA       ,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,849,50.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,SULTANABAD    ,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,23,56.0
NIRMAL,NIRMAL,KHANAPUR,MAMDA,BOORGUPALLI,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,4,50.0
NIZAMABAD,ARMOOR,ARMOOR,ARMOOR-TOWN2,A2 ZONE,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1245,50.0
